Tarih,Fiyat
,20.12.2024
20.12.2024,"2.968,366"
19.12.2024,"2.931,585"
18.12.2024,"2.916,818"
17.12.2024,"2.980,238"
16.12.2024,"2.980,698"
13.12.2024,"2.977,166"
12.12.2024,"3.012,629"
11.12.2024,"3.049,227"
10.12.2024,"3.021,640"
09.12.2024,"2.979,534"
06.12.2024,"2.942,141"
05.12.2024,"2.944,466"
04.12.2024,"2.960,537"
03.12.2024,"2.953,185"
02.12.2024,"2.952,173"
29.11.2024,"2.960,506"
28.11.2024,"2.941,416"
27.11.2024,"2.937,040"
26.11.2024,"2.932,286"
25.11.2024,"2.905,341"
22.11.2024,"3.019,618"
21.11.2024,"2.963,414"
20.11.2024,"2.940,974"
19.11.2024,"2.922,964"
18.11.2024,"2.904,343"
15.11.2024,"2.837,499"
14.11.2024,"2.842,970"
13.11.2024,"2.840,029"
12.11.2024,"2.872,468"
11.11.2024,"2.896,484"
08.11.2024,"2.965,855"
07.11.2024,"2.990,140"
06.11.2024,"2.929,464"
05.11.2024,"3.027,162"
04.11.2024,"3.022,082"
01.11.2024,"3.020,001"
31.10.2024,"3.029,244"
30.10.2024,"3.070,637"
29.10.2024,"3.058,451"
28.10.2024,"3.025,426"
25.10.2024,"3.030,884"
24.10.2024,"3.014,110"
23.10.2024,"2.998,864"
22.10.2024,"3.025,065"
21.10.2024,"2.996,482"
18.10.2024,"2.997,614"
17.10.2024,"2.961,750"
16.10.2024,"2.937,830"
15.10.2024,"2.928,717"
14.10.2024,"2.919,330"
11.10.2024,"2.928,963"
10.10.2024,"2.901,351"
09.10.2024,"2.873,485"
08.10.2024,"2.888,933"
07.10.2024,"2.912,276"
04.10.2024,"2.922,517"
03.10.2024,"2.923,420"
02.10.2024,"2.928,264"
01.10.2024,"2.924,486"
30.09.2024,"2.898,606"
27.09.2024,"2.919,910"
26.09.2024,"2.936,936"
25.09.2024,"2.919,021"
24.09.2024,"2.915,604"
23.09.2024,"2.883,938"
20.09.2024,"2.876,924"
19.09.2024,"2.835,169"
18.09.2024,"2.803,667"
17.09.2024,"2.819,695"
16.09.2024,"2.826,783"
13.09.2024,"2.812,543"
12.09.2024,"2.795,016"
11.09.2024,"2.746,546"
10.09.2024,"2.757,396"
09.09.2024,"2.748,539"
06.09.2024,"2.730,067"
05.09.2024,"2.750,535"
04.09.2024,"2.732,802"
03.09.2024,"2.725,432"
02.09.2024,"2.723,063"
30.08.2024,"2.743,604"
29.08.2024,"2.760,775"
