Tarih,Fiyat
2013-04-11,89.495
2013-04-12,85.236
2013-04-15,77.753
2013-04-16,78.62
2013-04-17,79.634
2013-04-18,80.24
2013-04-19,81.186
2013-04-22,82.725
2013-04-23,81.912
2013-04-24,82.897
2013-04-25,84.851
2013-04-26,84.455
2013-04-29,85.119
2013-04-30,85.044
2013-05-01,83.983
2013-05-02,84.529
2013-05-03,84.734
2013-05-06,84.835
2013-05-07,83.802
2013-05-08,84.763
2013-05-09,84.165
2013-05-10,83.786
2013-05-13,83.196
2013-05-14,83.116
2013-05-15,81.494
2013-05-16,81.18
2013-05-17,80.38
2013-05-20,82.349
2013-05-21,81.422
2013-05-22,81.323
2013-05-23,82.271
2013-05-24,82.275
2013-05-27,82.602
2013-05-28,82.441
2013-05-29,83.25
2013-05-30,85.067
2013-05-31,83.587
2013-06-03,85.308
2013-06-04,84.284
2013-06-05,85.238
2013-06-06,85.825
2013-06-07,83.328
2013-06-10,84.652
2013-06-11,83.705
2013-06-12,83.622
2013-06-13,82.84
2013-06-14,82.993
2013-06-17,83.372
2013-06-18,82.84
2013-06-19,82.687
2013-06-20,79.787
2013-06-21,80.699
2013-06-24,80.11
2013-06-25,79.418
2013-06-26,76.162
2013-06-27,74.045
2013-06-28,76.446
2013-07-01,77.393
2013-07-02,77.204
2013-07-03,78.305
2013-07-04,77.963
2013-07-05,77.288
2013-07-08,77.326
2013-07-09,78.025
2013-07-10,78.895
2013-07-11,80.547
2013-07-12,80.684
2013-07-15,79.761
2013-07-16,79.686
2013-07-17,78.218
2013-07-18,79.226
2013-07-19,79.79
2013-07-22,81.985
2013-07-23,82.115
2013-07-24,81.485
2013-07-25,82.218
2013-07-26,82.472
2013-07-29,82.199
2013-07-30,81.952
2013-07-31,82.233
2013-08-01,81.794
2013-08-02,81.123
2013-08-05,80.82
2013-08-06,79.321
2013-08-07,79.857
2013-08-08,81.056
2013-08-09,81.024
2013-08-12,82.627
2013-08-13,82.029
2013-08-14,83.057
2013-08-15,84.757
2013-08-16,85.953
2013-08-19,85.774
2013-08-20,85.86
2013-08-21,86.933
2013-08-22,88.034
2013-08-23,89.225
2013-08-26,90.053
2013-08-27,92.509
2013-08-28,92.784
2013-08-29,92.129
2013-08-30,91.305
2013-09-02,90.354
2013-09-03,93.311
2013-09-04,91.642
2013-09-05,90.794
2013-09-06,91.53
2013-09-09,90.236
2013-09-10,88.19
2013-09-11,88.167
2013-09-12,86.191
2013-09-13,86.387
2013-09-16,84.435
2013-09-17,84.129
2013-09-18,85.34
2013-09-19,85.989
2013-09-20,84.323
2013-09-23,84.304
2013-09-24,84.864
2013-09-25,86.369
2013-09-26,86.006
2013-09-27,87.173
2013-09-30,86.097
2013-10-01,83.043
2013-10-02,84.281
2013-10-03,84.714
2013-10-04,83.652
2013-10-07,84.636
2013-10-08,84.228
2013-10-09,83.087
2013-10-10,81.552
2013-10-11,80.89
2013-10-14,80.835
2013-10-15,81.731
2013-10-16,81.189
2013-10-17,83.304
2013-10-18,83.1
2013-10-21,83.652
2013-10-22,84.62
2013-10-23,84.551
2013-10-24,85.587
2013-10-25,86.0
2013-10-28,86.192
2013-10-29,86.056
2013-10-30,86.006
2013-10-31,84.84
2013-11-01,85.234
2013-11-04,85.074
2013-11-05,85.518
2013-11-06,86.153
2013-11-07,85.471
2013-11-08,84.264
2013-11-11,84.099
2013-11-12,83.568
2013-11-13,84.175
2013-11-14,84.096
2013-11-15,84.05
2013-11-18,82.843
2013-11-19,82.388
2013-11-20,80.459
2013-11-21,80.527
2013-11-22,80.065
2013-11-25,80.613
2013-11-26,80.315
2013-11-27,80.508
2013-11-28,80.516
2013-11-29,81.265
2013-12-02,79.86
2013-12-03,80.285
2013-12-04,81.764
2013-12-05,80.15
2013-12-06,79.939
2013-12-09,80.914
2013-12-10,82.152
2013-12-11,82.223
2013-12-12,80.455
2013-12-13,81.071
2013-12-16,80.866
2013-12-17,80.476
2013-12-18,80.475
2013-12-19,79.109
2013-12-20,80.813
2013-12-23,80.767
2013-12-24,80.385
2013-12-26,82.672
2013-12-27,83.903
2013-12-30,81.602
2013-12-31,83.13
2014-01-02,85.331
2014-01-03,86.464
2014-01-06,86.288
2014-01-07,85.769
2014-01-08,86.039
2014-01-09,85.868
2014-01-10,86.69
2014-01-13,87.735
2014-01-14,87.312
2014-01-15,87.388
2014-01-16,88.076
2014-01-17,89.948
2014-01-20,90.289
2014-01-21,89.714
2014-01-22,89.754
2014-01-23,93.074
2014-01-24,95.322
2014-01-27,92.141
2014-01-28,88.62
2014-01-29,92.082
2014-01-30,90.648
2014-01-31,90.043
2014-02-03,92.168
2014-02-04,90.145
2014-02-05,90.465
2014-02-06,89.348
2014-02-07,90.288
2014-02-10,90.7
2014-02-11,90.949
2014-02-12,90.895
2014-02-13,91.389
2014-02-14,92.475
2014-02-17,92.901
2014-02-18,92.583
2014-02-19,93.101
2014-02-20,93.559
2014-02-21,92.431
2014-02-24,94.442
2014-02-25,95.226
2014-02-26,95.171
2014-02-27,94.712
2014-02-28,94.143
2014-03-02,95.886
2014-03-03,96.79
2014-03-04,94.769
2014-03-05,94.662
2014-03-06,94.59
2014-03-07,95.001
2014-03-09,94.909
2014-03-10,95.645
2014-03-11,97.275
2014-03-12,98.131
2014-03-13,98.687
2014-03-14,98.341
2014-03-16,99.088
2014-03-17,97.563
2014-03-18,96.727
2014-03-19,95.81
2014-03-20,95.513
2014-03-21,95.87
2014-03-23,95.813
2014-03-24,94.301
2014-03-25,93.356
2014-03-26,92.049
2014-03-27,90.846
2014-03-28,91.256
2014-03-30,90.744
2014-03-31,88.322
2014-04-01,88.014
2014-04-02,88.327
2014-04-03,88.183
2014-04-04,88.569
2014-04-06,88.641
2014-04-07,88.174
2014-04-08,88.225
2014-04-09,88.613
2014-04-10,89.501
2014-04-11,89.585
2014-04-13,90.342
2014-04-14,90.453
2014-04-15,89.772
2014-04-16,89.533
2014-04-17,88.566
2014-04-20,88.484
2014-04-21,88.45
2014-04-22,88.503
2014-04-23,88.835
2014-04-24,88.647
2014-04-25,89.4
2014-04-27,89.569
2014-04-28,88.742
